,0
2012047,30
2012048,48
2012049,17
2012050,18
2012051,11
2012052,14
2012053,22
2012054,40
2012055,37
2012056,18
2012057,24
2012058,19
2012059,18
2012060,15
2012061,35
2012062,34
2012063,20
2012064,50
2012065,45
2012066,19
2012067,17
2012068,6
2012069,1
2012070,31
2012071,18
2012072,15
2012073,15
2012074,27
2012075,38
2012076,41
2012077,48
2012078,20
2012079,16
2012080,19
2012081,23
2012082,35
2012083,41
2012084,16
2012085,1
2012086,9
2012087,23
2012088,6
2012089,35
2012090,47
2012091,29
2012092,15
2012093,42
2012094,11
2012095,49
2012096,18
2012097,29
2012098,10
2012099,50
2012100,40
2012101,35
2012102,40
2012103,14
2012104,26
2013001,36
2013002,4
2013003,22
2013004,37
2013005,47
2013006,39
2013007,45
2013008,3
2013009,9
2013010,37
2013011,25
2013012,14
2013013,28
2013014,2
2013015,28
2013016,15
2013017,12
2013018,1
2013019,33
2013020,20
2013021,50
2013022,24
2013023,44
2013024,27
2013025,44
2013026,44
2013027,17
2013028,32
2013029,15
2013030,28
2013031,33
2013032,1
2013033,50
2013034,40
2013035,13
2013036,5
2013037,43
2013038,48
2013039,24
2013040,25
2013041,29
2013042,22
2013043,34
2013044,29
2013045,34
2013046,14
2013047,7
2013048,41
2013049,24
2013050,30
2013051,4
2013052,15
2013053,14
2013054,28
2013055,18
2013056,26
2013057,50
2013058,24
2013059,19
2013060,23
2013061,3
2013062,42
2013063,17
2013064,24
2013065,5
2013066,39
2013067,42
2013068,30
2013069,7
2013070,45
2013071,5
2013072,25
2013073,7
2013074,14
2013075,44
2013076,5
2013077,43
2013078,41
2013079,19
2013080,50
2013081,23
2013082,6
2013083,39
2013084,25
2013085,39
2013086,2
2013087,32
2013088,19
2013089,35
2013090,35
2013091,29
2013092,13
2013093,45
2013094,40
2013095,44
2013096,10
2013097,32
2013098,18
2013099,49
2013100,24
2013101,41
2013102,13
2013103,5
2013104,1
2013105,29
2014001,3
2014002,2
2014003,1
2014004,25
2014005,26
2014006,4
2014007,19
2014008,18
2014009,10
2014010,37
2014011,17
2014012,47
2014013,19
2014014,36
2014015,28
2014016,42
2014017,38
2014018,3
2014019,38
2014020,1
2014021,30
2014022,27
2014023,37
2014024,28
2014025,3
2014026,44
2014027,50
2014028,42
2014029,8
2014030,14
2014031,21
2014032,20
2014033,13
2014034,35
2014035,30
2014036,37
2014037,45
2014038,47
2014039,26
2014040,38
2014041,31
2014042,16
2014043,27
2014044,2
2014045,34
2014046,12
2014047,16
2014048,48
2014049,5
2014050,20
2014051,39
2014052,39
2014053,47
2014054,24
2014055,38
2014056,18
2014057,1
2014058,1
2014059,10
2014060,40
2014061,50
2014062,5
2014063,29
2014064,22
2014065,4
2014066,11
2014067,29
2014068,36
2014069,32
2014070,39
2014071,18
2014072,15
2014073,31
2014074,4
2014075,6
2014076,13
2014077,46
2014078,33
2014079,13
2014080,38
2014081,29
2014082,15
2014083,49
2014084,40
2014085,42
2014086,45
2014087,10
2014088,1
2014089,32
2014090,46
2014091,36
2014092,3
2014093,28
2014094,32
2014095,10
2014096,15
2014097,5
2014098,31
2014099,28
2014100,13
2014101,39
2014102,49
2014103,26
2014104,6
2015001,24
2015002,20
2015003,6
2015004,34
2015005,34
2015006,33
2015007,30
2015008,10
2015009,9
2015010,50
2015011,50
2015012,30
2015013,24
2015014,5
2015015,37
2015016,3
2015017,17
2015018,6
2015019,47
2015020,31
2015021,4
2015022,11
2015023,3
2015024,40
2015025,30
2015026,8
2015027,39
2015028,39
2015029,25
2015030,49
2015031,39
2015032,14
2015033,31
2015034,36
2015035,19
2015036,1
2015037,14
2015038,29
2015039,47
2015040,35
2015041,18
2015042,6
2015043,4
2015044,23
2015045,8
2015046,5
2015047,11
2015048,15
2015049,7
2015050,16
2015051,10
2015052,11
2015053,11
2015054,7
2015055,35
2015056,34
2015057,21
2015058,14
2015059,21
2015060,36
2015061,34
2015062,50
2015063,1
2015064,2
2015065,45
2015066,7
2015067,47
2015068,31
2015069,11
2015070,6
2015071,27
2015072,42
2015073,19
2015074,44
2015075,39
2015076,27
2015077,14
2015078,14
2015079,21
2015080,22
2015081,43
2015082,26
2015083,28
2015084,21
2015085,25
2015086,11
2015087,34
2015088,39
2015089,26
2015090,43
2015091,33
2015092,6
2015093,34
2015094,26
2015095,50
2015096,35
2015097,17
2015098,48
2015099,43
2015100,11
2015101,22
2015102,19
2015103,10
2015104,5
2016001,44
2016002,36
2016003,35
2016004,2
2016005,43
2016006,2
2016007,27
2016008,15
2016009,29
2016010,36
2016011,46
2016012,9
2016013,31
2016014,3
2016015,32
2016016,42
2016017,13
2016018,37
2016019,9
2016020,9
2016021,26
2016022,7
2016023,14
2016024,15
2016025,43
2016026,4
2016027,23
2016028,3
2016029,43
2016030,9
2016031,13
2016032,27
2016033,32
2016034,10
2016035,4
2016036,23
2016037,45
2016038,40
2016039,31
2016040,32
2016041,41
2016042,37
2016043,46
2016044,6
2016045,7
2016046,26
2016047,21
2016048,13
2016049,43
2016050,32
2016051,11
2016052,43
2016053,11
2016054,38
2016055,12
2016056,26
2016057,2
2016058,24
2016059,26
2016060,13
2016061,40
2016062,27
2016063,19
2016064,19
2016065,15
2016066,34
2016067,22
2016068,2
2016069,48
2016070,29
2016071,50
2016072,45
2016073,28
2016074,44
2016075,32
2016076,45
2016077,14
2016078,41
2016079,35
2016080,4
2016081,12
2016082,12
2016083,31
2016084,2
2016085,48
2016086,28
2016087,23
2016088,10
2016089,7
2016090,49
2016091,38
2016092,42
2016093,32
2016094,47
2016095,28
2016096,38
2016097,23
2016098,27
2016099,6
2016100,28
2016101,45
2016102,15
2016103,46
2016104,32
2016105,10
2017001,34
2017002,21
2017003,44
2017004,16
2017005,43
2017006,17
2017007,5
2017008,28
2017009,4
2017010,3
2017011,44
2017012,43
2017013,44
2017014,25
2017015,19
2017016,13
2017017,35
2017018,47
2017019,6
2017020,38
2017021,21
2017022,19
2017023,47
2017024,2
2017025,33
2017026,24
2017027,24
2017028,35
2017029,22
2017030,33
2017031,22
2017032,2
2017033,11
2017034,20
2017035,27
2017036,7
2017037,26
2017038,2
2017039,20
2017040,30
2017041,15
2017042,36
2017043,27
2017044,8
2017045,25
2017046,9
2017047,12
2017048,38
2017049,44
2017050,4
2017051,45
2017052,35
2017053,22
2017054,45
2017055,50
2017056,21
2017057,41
2017058,8
2017059,14
2017060,41
2017061,29
2017062,29
2017063,26
2017064,39
2017065,14
2017066,39
2017067,10
2017068,15
2017069,4
2017070,8
2017071,28
2017072,42
2017073,35
2017074,44
2017075,45
2017076,6
2017077,40
2017078,18
2017079,32
2017080,15
2017081,36
2017082,23
2017083,19
2017084,4
2017085,27
2017086,39
2017087,46
2017088,41
2017089,37
2017090,37
2017091,16
2017092,35
2017093,31
2017094,28
2017095,42
2017096,5
2017097,48
2017098,34
2017099,39
2017100,25
2017101,15
2017102,5
2017103,30
2017104,4
2018001,20
2018002,41
2018003,6
2018004,45
2018005,46
2018006,44
2018007,5
2018008,28
2018009,11
2018010,36
2018011,8
2018012,38
2018013,13
2018014,23
2018015,6
2018016,18
2018017,48
2018018,2
2018019,26
2018020,44
2018021,11
2018022,31
2018023,44
2018024,46
2018025,46
2018026,35
2018027,43
2018028,45
2018029,48
2018030,48
2018031,39
2018032,44
2018033,28
2018034,24
2018035,48
2018036,23
2018037,17
2018038,22
2018039,20
2018040,8
2018041,48
2018042,13
2018043,20
2018044,29
2018045,39
2018046,43
2018047,36
2018048,26
2018049,26
2018050,44
2018051,20
2018052,15
2018053,15
2018054,30
2018055,3
2018056,49
2018057,4
2018058,15
2018059,40
2018060,17
2018061,25
2018062,26
2018063,30
2018064,43
2018065,31
2018066,18
2018067,43
2018068,31
2018069,42
2018070,4
2018071,47
2018072,50
2018073,32
2018074,45
2018075,10
2018076,5
2018077,38
2018078,4
2018079,45
2018080,16
2018081,3
2018082,31
2018083,15
2018084,1
2018085,32
2018086,5
2018087,44
2018088,15
2018089,14
2018090,49
2018091,10
2018092,9
2018093,6
2018094,25
2018095,17
2018096,3
2018097,21
2018098,17
2018099,4
2018100,29
2018101,1
2018102,12
2018103,8
2018104,34
2019001,11
2019002,19
2019003,19
2019004,19
2019005,33
2019006,5
2019007,29
2019008,15
2019009,39
2019010,3
2019011,31
2019012,46
2019013,34
2019014,49
2019015,19
2019016,50
2019017,29
2019018,9
2019019,16
2019020,40
2019021,5
2019022,46
2019023,9
2019024,17
2019025,47
2019026,13
2019027,9
2019028,7
2019029,38
2019030,46
2019031,1
2019032,32
2019033,23
2019034,33
2019035,20
2019036,2
2019037,32
2019038,1
2019039,14
2019040,42
2019041,47
2019042,5
2019043,28
2019044,1
2019045,31
2019046,34
2019047,27
2019048,30
2019049,44
2019050,9
2019051,27
2019052,1
2019053,19
2019054,20
2019055,32
2019056,2
2019057,5
2019058,26
2019059,38
2019060,27
2019061,15
2019062,33
2019063,38
2019064,35
2019065,31
2019066,9
2019067,23
2019068,4
2019069,26
2019070,45
2019071,44
2019072,13
2019073,3
2019074,12
2019075,22
2019076,25
2019077,2
2019078,46
2019079,40
2019080,44
2019081,44
2019082,42
2019083,3
2019084,18
2019085,2
2019086,37
2019087,49
2019088,39
2019089,25
2019090,20
2019091,1
2019092,20
2019093,10
2019094,3
2019095,34
2019096,50
2019097,32
2019098,46
2019099,19
2019100,16
2019101,7
2019102,8
2019103,47
2019104,22
2019105,41
2020001,15
2020002,8
2020003,32
2020004,25
2020005,20
2020006,36
2020007,9
2020008,31
2020009,20
20200010,35
20200011,17
20200012,43
20200013,5
20200014,34
20200015,32
20200016,4
20200017,8
20200018,27
20200019,15
20200020,23
20200021,21
20200022,5
20200023,40
20200024,33
20200025,14
20200026,30
20200027,50
20200028,33
20200029,33
20200030,40
20200031,37
20200032,11
20200033,28
20200034,32
20200035,47
20200036,2
20200037,33
20200038,16
20200039,34
20200040,43
20200041,18
20200042,9
20200043,4
20200044,49
20200045,24
20200046,46
20200047,24
20200048,39
20200049,14
20200050,19
20200051,12
20200052,11
20200053,27
20200054,41
20200055,30
20200056,30
20200057,7
20200058,29
20200059,8
20200060,34
20200061,30
20200062,42
20200063,36
20200064,14
20200065,49
20200066,12
20200067,10
20200068,18
20200069,31
20200070,46
20200071,6
20200072,9
20200073,34
20200074,38
20200075,25
20200076,28
20200077,34
20200078,16
20200079,15
20200080,41
20200081,15
20200082,5
20200083,15
20200084,15
20200085,19
20200086,13
20200087,21
20200088,5
20200089,12
20200090,19
20200091,31
20200092,30
20200093,28
20200094,50
20200095,8
20200096,29
20200097,14
20200098,1
20200099,41
20200100,21
20200101,2
20200102,42
20200103,16
20200104,7
20211001,32
20211002,37
20211003,42
20211004,10
20211005,27
20211006,25
20211007,16
20211008,7
20211009,27
20211010,38
20211011,45
20211012,24
20211013,32
20211014,30
20211015,25
20211016,30
20211017,6
20211018,24
20211019,4
20211020,16
20211021,11
20211022,32
20211023,35
20211024,2
20211025,49
20211026,42
20211027,21
20211028,50
20211029,44
20211030,47
20211031,29
20211032,28
20211033,29
20211034,13
20211035,1
20211036,46
20211037,33
20211038,14
20211039,6
20211040,13
20211041,9
20211042,38
20211043,16
20211044,35
20211045,40
20211046,47
20211047,17
20211048,30
20211049,27
20211050,27
20211051,33
20211052,6
20211053,49
20211054,2
20211055,37
20211056,22
20211057,47
20211058,19
20211059,34
20211060,19
20211061,23
20211062,46
20211063,32
20211064,47
20211065,49
20211066,47
20211067,3
20211068,21
20211069,31
20211070,17
20211071,5
20211072,42
20211073,6
20211074,12
20211075,10
20211076,20
20211077,27
20211078,12
20211079,1
20211080,45
20211081,10
20211082,13
20211083,49
20211084,40
20211085,33
20211086,12
20211087,28
20211088,29
20211089,41
20211090,33
20211091,50
20211092,9
20211093,50
20211094,21
20211095,50
20211096,43
20211097,46
20211098,22
20211099,11
20211100,37
20211101,30
20211102,34
20211103,41
20211104,4
20211105,25
20222001,28
20222002,14
20222003,33
20222004,25
20222005,12
20222006,5
20222007,16
20222008,34
20222009,49
20222010,49
20222011,43
20222012,45
20222013,33
20222014,25
20222015,26
20222016,24
20222017,26
20222018,40
20222019,18
20222020,23
20222021,2
20222022,43
20222023,7
20222024,10
20222025,43
20222026,21
20222027,13
20222028,16
20222029,30
20222030,32
20222031,28
20222032,11
20222033,25
20222034,37
20222035,26
20222036,3
20222037,28
20222038,11
20222039,49
20222040,32
20222041,27
20222042,15
20222043,42
20222044,29
20222045,17
20222046,37
20222047,7
20222048,21
20222049,23
20222050,50
20222051,35
20222052,46
20222053,7
20222054,28
20222055,50
20222056,38
20222057,41
20222058,32
20222059,3
20222060,38
20222061,28
20222062,29
20222063,47
20222064,14
20222065,10
20222066,9
20222067,48
20222068,22
20222069,6
20222070,7
20222071,10
20222072,26
20222073,40
20222074,49
20222075,21
20222076,22
20222077,34
20222078,2
20222079,3
20222080,50
20222081,40
20222082,28
20222083,42
20222084,26
20222085,24
20222086,28
20222087,42
20222088,11
20222089,50
20222090,25
20222091,31
20222092,41
20222093,24
20222094,21
20222095,20
20222096,39
20222097,20
20222098,8
20222099,30
20222100,2
20222101,1
20222102,16
20222103,33
20222104,48
20233001,20
20233002,44
20233003,42
20233004,13
20233005,18
20233006,40
20233007,11
20233008,15
20233009,7
20233010,14
20233011,8
20233012,3
20233013,43
20233014,42
20233015,49
20233016,42
20233017,29
20233018,24
20233019,50
20233020,9
20233021,26
20233022,37
20233023,29
20233024,36
20233025,21
20233026,28
20233027,50
20233028,26
20233029,19
20233030,44
20233031,37
20233032,18
20233033,29
20233034,34
20233035,48
20233036,34
20233037,21
20233038,9
20233039,14
20233040,41
20233041,34
20233042,38
20233043,27
20233044,25
20233045,21
20233046,18
20233047,15
20233048,34
20233049,35
20233050,11
20233051,27
20233052,29
20233053,23
20233054,2
20233055,48
20233056,5
20233057,34
20233058,7
20233059,11
20233060,38
20233061,35
20233062,15
20233063,40
20233064,10
20233065,3
20233066,47
20233067,23
20233068,44
20233069,21
20233070,35
20233071,41
20233072,33
20233073,14
20233074,21
20233075,10
20233076,3
20233077,14
20233078,32
20233079,45
20233080,31
20233081,18
20233082,41
20233083,40
20233084,20
20233085,18
20233086,29
20233087,20
20233088,31
20233089,8
20233090,30
20233091,13
20233092,26
20233093,46
20233094,48
20233095,27
20233096,38
20233097,6
20233098,48
20233099,43
20233100,2
20233101,20
20233102,14
20233103,47
20233104,2
20244001,7
20244002,18
20244003,12
20244004,18
20244005,18
20244006,50
20244007,48
20244008,32
20244009,10
20244010,13
20244011,45
20244012,37
20244013,13
20244014,26
20244015,42
20244016,27
20244017,20
20244018,34
20244019,23
20244020,12
20244021,30
20244022,31
20244023,32
20244024,32
20244025,14
20244026,49
20244027,36
20244028,26
20244029,27
20244030,45
20244031,39
20244032,10
20244033,9
20244034,47
20244035,24
20244036,6
2004001,16
2004002,50
2004003,19
2004004,37
2004005,47
2004006,45
2004007,43
2004008,24
2004009,19
2004010,40
2004011,21
2004012,16
2004013,36
2004014,3
2004015,39
2004016,44
2004017,42
2004018,2
2004019,2
2004020,21
2004021,28
2004022,19
2004023,50
2004024,27
2004025,10
2004026,35
2004027,27
2004028,10
2004029,1
2004030,12
2004031,38
2004032,39
2004033,21
2004034,20
2004035,10
2004036,21
2004037,25
2004038,1
2004039,42
2004040,13
2004041,29
2004042,1
2004043,42
2004044,13
2004045,22
2004046,27
2004047,7
2005001,27
2005002,14
2005003,14
2005004,21
2005005,1
2005006,13
2005007,46
2005008,3
2005009,32
2005010,12
2005011,39
2005012,33
2005013,44
2005014,50
2005015,31
2005016,10
2005017,35
2005018,21
2005019,40
2005020,6
2005021,48
2005022,11
2005023,32
2005024,4
2005025,15
2005026,28
2005027,46
2005028,23
2005029,14
2005030,3
2005031,11
2005032,23
2005033,29
2005034,35
2005035,3
2005036,12
2005037,38
2005038,31
2005039,50
2005040,44
2005041,19
2005042,14
2005043,50
2005044,42
2005045,16
2005046,17
2005047,39
2005048,30
2005049,42
2005050,18
2005051,42
2005052,45
2006001,26
2006002,19
2006003,12
2006004,21
2006005,39
2006006,38
2006007,23
2006008,19
2006009,44
2006010,33
2006011,44
2006012,47
2006013,3
2006014,12
2006015,35
2006016,1
2006017,5
2006018,50
2006019,5
2006020,34
2006021,41
2006022,7
2006023,34
2006024,36
2006025,30
2006026,6
2006027,9
2006028,31
2006029,4
2006030,43
2006031,15
2006032,31
2006033,40
2006034,10
2006035,50
2006036,10
2006037,49
2006038,45
2006039,3
2006040,35
2006041,32
2006042,34
2006043,50
2006044,11
2006045,30
2006046,12
2006047,5
2006048,37
2006049,36
2006050,37
2006051,11
2006052,9
2007001,45
2007002,8
2007003,5
2007004,11
2007005,14
2007006,16
2007007,39
2007008,2
2007009,16
2007010,25
2007011,4
2007012,17
2007013,9
2007014,48
2007015,41
2007016,26
2007017,18
2007018,41
2007019,26
2007020,37
2007021,26
2007022,41
2007023,17
2007024,14
2007025,17
2007026,8
2007027,41
2007028,9
2007029,26
2007030,29
2007031,33
2007032,43
2007033,13
2007034,3
2007035,37
2007036,3
2007037,29
2007038,37
2007039,34
2007040,27
2007041,47
2007042,18
2007043,7
2007044,16
2007045,25
2007046,18
2007047,2
2007048,20
2007049,43
2007050,30
2007051,7
2007052,31
2008001,24
2008002,36
2008003,40
2008004,19
2008005,49
2008006,38
2008007,45
2008008,50
2008009,47
2008010,17
2008011,48
2008012,2
2008013,9
2008014,37
2008015,30
2008016,6
2008017,30
2008018,48
2008019,9
2008020,38
2008021,38
2008022,20
2008023,40
2008024,37
2008025,8
2008026,44
2008027,22
2008028,19
2008029,14
2008030,7
2008031,40
2008032,5
2008033,11
2008034,27
2008035,20
2008036,12
2008037,33
2008038,16
2008039,29
2008040,38
2008041,31
2008042,12
2008043,7
2008044,25
2008045,1
2008046,26
2008047,49
2008048,25
2008049,8
2008050,19
2008051,50
2008052,26
2009001,30
2009002,7
2009003,22
2009004,49
2009005,34
2009006,30
2009007,36
2009008,48
2009009,44
2009010,35
2009011,42
2009012,12
2009013,42
2009014,24
2009015,14
2009016,4
2009017,4
2009018,47
2009019,29
2009020,8
2009021,4
2009022,47
2009023,19
2009024,14
2009025,17
2009026,6
2009027,47
2009028,20
2009029,50
2009030,47
2009031,9
2009032,10
2009033,5
2009034,42
2009035,41
2009036,39
2009037,15
2009038,16
2009039,21
2009040,29
2009041,11
2009042,30
2009043,6
2009044,9
2009045,43
2009046,25
2009047,9
2009048,15
2009049,30
2009050,43
2009051,30
2009052,17
2010001,24
2010002,5
2010003,50
2010004,44
2010005,43
2010006,38
2010007,45
2010008,12
2010009,11
2010010,18
2010011,1
2010012,28
2010013,37
2010014,18
2010015,23
2010016,11
2010017,3
2010018,36
2010019,21
2010020,31
2010021,19
2010022,31
2010023,42
2010024,2
2010025,29
2010026,1
2010027,41
2010028,9
2010029,46
2010030,13
2010031,11
2010032,28
2010033,9
2010034,31
2010035,6
2010036,49
2010037,41
2010038,27
2010039,16
2010040,27
2010041,35
2010042,31
2010043,5
2010044,22
2010045,23
2010046,47
2010047,12
2010048,41
2010049,32
2010050,2
2010051,35
2010052,19
2010053,24
2011001,22
2011002,2
2011003,11
2011004,24
2011005,35
2011006,14
2011007,3
2011008,45
2011009,41
2011010,24
2011011,13
2011012,21
2011013,33
2011014,47
2011015,41
2011016,45
2011017,40
2011018,16
2011019,3
2011020,47
2011021,20
2011022,25
2011023,23
2011024,9
2011025,9
2011026,40
2011027,38
2011028,20
2011029,19
2011030,22
2011031,50
2011032,20
2011033,15
2011034,23
2011035,47
2011036,13
2011037,17
2011038,6
2011039,3
2011040,50
2011041,1
2011042,38
2011043,33
2011044,32
2011045,24
2011046,20
2011047,18
2011048,6
2011049,50
2011050,45
2011051,8
2011052,12
2011053,35
2011054,5
2011055,32
2011056,2
2011057,38
2011058,33
2011059,18
2011060,15
2011061,16
2011062,34
2011063,16
2011064,23
2011065,18
2011066,19
2011067,28
2011068,16
2011069,45
2011070,50
2011071,15
2011072,18
2011073,17
2011074,44
2011075,40
2011076,14
2011077,50
2011078,40
2011079,21
2011080,12
2011081,37
2011082,2
2011083,48
2011084,7
2011085,21
2011086,44
2012001,30
2012002,6
2012003,4
2012004,13
2012005,44
2012006,28
2012007,20
2012008,19
2012009,34
2012010,20
2012011,3
2012012,14
2012013,14
2012014,4
2012015,24
2012016,3
2012017,48
2012018,5
2012019,47
2012020,36
2012021,1
2012022,4
2012023,30
2012024,15
2012025,36
2012026,17
2012027,8
2012028,35
2012029,27
2012030,39
2012031,28
2012032,41
2012033,24
2012034,43
2012035,15
2012036,41
2012037,34
2012038,17
2012039,2
2012040,50
2012041,32
2012042,12
2012043,17
2012044,2
2012045,49
2012046,22
2012047,26
2012048,38
2012049,20
2012050,14
2012051,22
2012052,17
2012053,7
2012054,42
2012055,1
2012056,46
2012057,2
2012058,23
2012059,25
2012060,48
2012061,39
2012062,35
2012063,50
2012064,21
2012065,16
2012066,25
2012067,5
2012068,5
2012069,26
2012070,28
2012071,39
2012072,35
2012073,6
2012074,10
2012075,7
2012076,4
2012077,25
2012078,26
2012079,42
2012080,16
2012081,8
2012082,7
2012083,10
2012084,40
2012085,35
2012086,5
2012087,44
2012088,10
2012089,25
2012090,28
2012091,11
2012092,19
2012093,28
2012094,20
2012095,44
2012096,23
2012097,5
2012098,18
2012099,4
2012100,29
2012101,14
2012102,5
2012103,20
2012104,49
2013001,49
2013002,10
2013003,26
2013004,22
2013005,42
2013006,26
2013007,10
2013008,10
2013009,16
2013010,5
2013011,6
2013012,44
2013013,25
2013014,4
2013015,30
2013016,37
2013017,13
2013018,11
2013019,31
2013020,42
2013021,4
2013022,14
2013023,32
2013024,32
2013025,30
2013026,30
2013027,12
2013028,1
2013029,44
2013030,45
2013031,50
2013032,46
2013033,4
2013034,38
2013035,50
2013036,49
2013037,27
2013038,35
2013039,7
2013040,24
2013041,19
2013042,17
2013043,38
2013044,43
2013045,33
2013046,26
2013047,9
2013048,25
